State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andaman and Nicobar Islands,NICOBARS,Coconut,2001-02,Whole Year,18190,Hectare,64430000,Nuts,3542.056075
Andaman and Nicobar Islands,NICOBARS,Coconut,2002-03,Whole Year,18240,Hectare,67490000,Nuts,3700.109649
Andaman and Nicobar Islands,NICOBARS,Coconut,2003-04,Whole Year,18284.74,Hectare,68580000,Nuts,3750.66859
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Coconut,2001-02,Whole Year,7015,Hectare,25250000,Nuts,3599.429793
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut,2002-03,Whole Year,7060,Hectare,26830000,Nuts,3800.283286
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut,2003-04,Whole Year,7110,Hectare,26660000,Nuts,3749.648383
Andhra Pradesh,ANANTAPUR,Coconut,2001-02,Whole Year,851,Hectare,3053700,Nuts,3588.366627
Andhra Pradesh,ANANTAPUR,Coconut,2002-03,Whole Year,869,Hectare,3691149,Nuts,4247.582278
Andhra Pradesh,ANANTAPUR,Coconut,2003-04,Whole Year,839,Hectare,3285828,Nuts,3916.362336
Andhra Pradesh,CHITTOOR,Coconut,2001-02,Whole Year,4133,Hectare,14827800,Nuts,3587.660295
Andhra Pradesh,CHITTOOR,Coconut,2002-03,Whole Year,4296,Hectare,17209269,Nuts,4005.881983
Andhra Pradesh,CHITTOOR,Coconut,2003-04,Whole Year,4294,Hectare,16827552,Nuts,3918.852352
Andhra Pradesh,EAST GODAVARI,Coconut,2001-02,Whole Year,48515,Hectare,629772990,Nuts,12980.99536
Andhra Pradesh,EAST GODAVARI,Coconut,2002-03,Whole Year,49479,Hectare,685943720,Nuts,13863.3303
Andhra Pradesh,EAST GODAVARI,Coconut,2003-04,Whole Year,48854,Hectare,683171460,Nuts,13983.94113
Andhra Pradesh,GUNTUR,Coconut,2001-02,Whole Year,491,Hectare,5426352,Nuts,11051.6334
Andhra Pradesh,GUNTUR,Coconut,2002-03,Whole Year,399,Hectare,4488408,Nuts,11249.14286
Andhra Pradesh,GUNTUR,Coconut,2003-04,Whole Year,380,Hectare,4497480,Nuts,11835.47368
Andhra Pradesh,KADAPA,Coconut,2001-02,Whole Year,148,Hectare,530400,Nuts,3583.783784
Andhra Pradesh,KADAPA,Coconut,2002-03,Whole Year,155,Hectare,658350,Nuts,4247.419355
Andhra Pradesh,KADAPA,Coconut,2003-04,Whole Year,104,Hectare,406980,Nuts,3913.269231
Andhra Pradesh,KHAMMAM,Coconut,2001-02,Whole Year,1106,Hectare,11703240,Nuts,10581.59132
Andhra Pradesh,KHAMMAM,Coconut,2002-03,Whole Year,1083,Hectare,11850836,Nuts,10942.60018
Andhra Pradesh,KHAMMAM,Coconut,2003-04,Whole Year,1050,Hectare,11933140,Nuts,11364.89524
